,correct,rt,cond,log_rt
0,1,0.4553,Neutral,-0.7867987366414007
1,1,0.521,Neutral,-0.6520052372287701
2,1,0.4512,Neutral,-0.795844578798288
3,1,0.4784,Accuracy,-0.737308076345715
4,1,0.43,Accuracy,-0.843970070294529
5,1,0.4486,Accuracy,-0.8016236568960291
6,1,0.3991,Speed,-0.9185432669274488
7,1,0.3627,Neutral,-1.0141792326932804
8,1,0.4393,Accuracy,-0.8225727280004032
9,1,0.5017,Accuracy,-0.6897529474919297
10,0,0.4283,Neutral,-0.8479313943608118
11,1,0.4744,Accuracy,-0.7457044312986214
12,1,0.4015,Neutral,-0.9125477455953206
13,1,0.4369,Accuracy,-0.8280509430247468
14,1,0.4188,Accuracy,-0.8703617999857552
15,1,0.4406,Accuracy,-0.8196178446138943
16,1,0.4516,Accuracy,-0.7949584467066301
17,1,0.4439,Neutral,-0.8121559671421474
18,1,0.37200000000000005,Neutral,-0.9888614247089903
19,1,0.4193,Accuracy,-0.8691686248054201
20,1,0.4695,Neutral,-0.7560869803338195
21,1,0.5533,Accuracy,-0.5918549290780729
22,1,0.4175,Neutral,-0.8734707346912269
23,1,0.3749,Neutral,-0.9810959552402707
24,1,0.3726,Neutral,-0.987249820814649
25,1,0.3887,Speed,-0.9449474411239596
26,1,0.6874,Speed,-0.3748389145664035
27,1,0.5212,Accuracy,-0.651621433731447
28,1,0.8129,Speed,-0.20714717822961048
29,1,0.5461,Neutral,-0.604953169824029
30,1,0.3714,Speed,-0.9904756300635316
31,1,0.4538,Accuracy,-0.7900987066363957
32,1,0.4395,Speed,-0.8221175618569053
33,1,0.4118,Speed,-0.8872174843884479
34,1,0.3493,Speed,-1.0518241271693507
35,1,0.9329,Accuracy,-0.06945726501522174
36,1,0.7095,Neutral,-0.34319478238203965
37,1,0.3645,Speed,-1.0092287275334242
38,1,0.5262,Speed,-0.6420739103759447
39,1,0.3763,Speed,-0.9773685813827454
40,1,0.5023,Accuracy,-0.688557728226138
41,1,0.4097,Neutral,-0.8923300944293117
42,1,0.3821,Neutral,-0.9620729245292828
43,0,0.5171,Neutral,-0.6595189995799613
44,0,0.3764,Speed,-0.9771028712709124
45,1,0.5293,Neutral,-0.6361999001181952
46,1,0.5276,Accuracy,-0.6394168581389776
47,1,0.4634,Neutral,-0.7691646669838612
