,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
0,False,0.18,J,0.12,1.474685194369158,101,"0.12, 0.18"
1,True,0.24,F,0.12,1.2999197920967165,101,"0.12, 0.24"
2,False,0.24,J,0.18,1.5644343749738707,101,"0.18, 0.24"
3,True,0.3,F,0.24,0.8994108390108977,101,"0.24, 0.3"
4,True,0.06,J,0.24,1.8611333833880508,101,"0.06, 0.24"
5,False,0.12,F,0.3,2.696009829970308,101,"0.12, 0.3"
6,True,0.06,J,0.18,1.2021460808950906,101,"0.06, 0.18"
7,False,0.12,F,0.18,1.80603429407347,101,"0.12, 0.18"
8,False,0.18,J,0.06,2.639528920559542,101,"0.06, 0.18"
9,True,0.0,J,0.0,1.0559308134106686,101,"0.0, 0.0"
10,False,0.12,J,0.0,1.0767352751311137,101,"0.0, 0.12"
11,True,0.18,J,0.3,1.8647543754175333,101,"0.18, 0.3"
12,True,0.18,F,0.18,2.7079969634589816,101,"0.18, 0.18"
13,True,0.24,J,0.3,1.189056677481176,101,"0.24, 0.3"
14,False,0.12,J,0.0,0.7563994547524544,101,"0.0, 0.12"
15,False,0.24,J,0.06,1.3796993658172596,101,"0.06, 0.24"
16,False,0.18,F,0.3,1.565116349944674,101,"0.18, 0.3"
17,False,0.3,J,0.18,0.7062751948399182,101,"0.18, 0.3"
18,False,0.24,J,0.12,1.1855828025388746,101,"0.12, 0.24"
19,False,0.06,F,0.18,1.793306311073593,101,"0.06, 0.18"
20,False,0.06,F,0.24,2.375622892637466,101,"0.06, 0.24"
21,True,0.0,J,0.18,0.6191732906295329,101,"0.0, 0.18"
22,True,0.12,J,0.24,1.3234653138913473,101,"0.12, 0.24"
23,True,0.0,J,0.06,2.049396155007571,101,"0.0, 0.06"
24,True,0.0,J,0.24,1.9176122148739976,101,"0.0, 0.24"
25,False,0.0,F,0.18,1.7089400643324095,101,"0.0, 0.18"
26,False,0.3,J,0.06,1.4676763534910149,101,"0.06, 0.3"
27,True,0.0,J,0.3,1.1588206529117997,101,"0.0, 0.3"
28,True,0.0,J,0.3,1.3923733227682078,101,"0.0, 0.3"
29,True,0.24,J,0.24,0.6470967232507974,101,"0.24, 0.24"
30,False,0.3,J,0.12,0.6942392993789781,101,"0.12, 0.3"
31,True,0.12,F,0.06,2.2239969856236708,101,"0.06, 0.12"
32,True,0.06,J,0.12,0.9774506354292498,101,"0.06, 0.12"
33,False,0.3,J,0.06,1.6782545153309911,101,"0.06, 0.3"
